Camera no,No,Filename,Date,Time,Species ,Distance 1,Angle 1,Distance 2,Angle 2,Distance 3,Angle 3
Cam 7,1,Cam 7/IMG_0001.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,2,Cam 7/IMG_0002.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,3,Cam 7/IMG_0003.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,4,Cam 7/IMG_0004.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,5,Cam 7/IMG_0005.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,6,Cam 7/IMG_0006.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,7,Cam 7/IMG_0007.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,8,Cam 7/IMG_0008.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,9,Cam 7/IMG_0009.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,10,Cam 7/IMG_0010.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,11,Cam 7/IMG_0011.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,12,Cam 7/IMG_0012.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,13,Cam 7/IMG_0013.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,14,Cam 7/IMG_0014.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,15,Cam 7/IMG_0015.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,16,Cam 7/IMG_0016.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,17,Cam 7/IMG_0017.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,18,Cam 7/IMG_0018.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,19,Cam 7/IMG_0019.JPG,11/22/2022,03:00PM,N/A,,,,,,
Cam 7,20,Cam 7/IMG_0020.JPG,11/22/2022,03:00PM,N/A,,,,,,
