Camera no,No,Filename,Date,Time,Species ,Distance 1,Angle 1,Distance 2,Angle 2,Distance 3,Angle 3
Cam 3,1,Cam 3/IMG_0001.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,2,Cam 3/IMG_0002.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,3,Cam 3/IMG_0003.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,4,Cam 3/IMG_0004.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,5,Cam 3/IMG_0005.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,6,Cam 3/IMG_0006.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,7,Cam 3/IMG_0007.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,8,Cam 3/IMG_0008.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,9,Cam 3/IMG_0009.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,10,Cam 3/IMG_0010.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,11,Cam 3/IMG_0011.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,12,Cam 3/IMG_0012.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,13,Cam 3/IMG_0013.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,14,Cam 3/IMG_0014.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,15,Cam 3/IMG_0015.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,16,Cam 3/IMG_0016.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,17,Cam 3/IMG_0017.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,18,Cam 3/IMG_0018.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,19,Cam 3/IMG_0019.JPG,11/26/2022,03:54AM,N/A,,,,,,
Cam 3,20,Cam 3/IMG_0020.JPG,11/26/2022,03:55AM,N/A,,,,,,
Cam 3,21,Cam 3/IMG_0021.JPG,11/26/2022,03:55AM,N/A,,,,,,
Cam 3,22,Cam 3/IMG_0022.JPG,11/26/2022,03:55AM,N/A,,,,,,
Cam 3,23,Cam 3/IMG_0023.JPG,11/26/2022,03:55AM,N/A,,,,,,
Cam 3,24,Cam 3/IMG_0024.JPG,11/26/2022,03:55AM,N/A,,,,,,
Cam 3,25,Cam 3/IMG_0025.JPG,11/26/2022,03:55AM,N/A,,,,,,
Cam 3,26,Cam 3/IMG_0026.JPG,11/26/2022,03:55AM,N/A,,,,,,
Cam 3,27,Cam 3/IMG_0027.JPG,11/26/2022,03:55AM,N/A,,,,,,
Cam 3,28,Cam 3/IMG_0028.JPG,11/26/2022,03:55AM,N/A,,,,,,
