Camera no,No,Filename,Date,Time,Species ,Distance 1,Angle 1,Distance 2,Angle 2,Distance 3,Angle 3
Cam 6,1,Cam 6/IMG_0001.JPG,12/23/2022,02:58PM,N/A,,,,,,
Cam 6,2,Cam 6/IMG_0002.JPG,12/23/2022,02:58PM,N/A,,,,,,
Cam 6,3,Cam 6/IMG_0003.JPG,12/23/2022,02:58PM,N/A,,,,,,
Cam 6,4,Cam 6/IMG_0004.JPG,12/23/2022,02:58PM,N/A,,,,,,
Cam 6,5,Cam 6/IMG_0005.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,6,Cam 6/IMG_0006.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,7,Cam 6/IMG_0007.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,8,Cam 6/IMG_0008.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,9,Cam 6/IMG_0009.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,10,Cam 6/IMG_0010.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,11,Cam 6/IMG_0011.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,12,Cam 6/IMG_0012.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,13,Cam 6/IMG_0013.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,14,Cam 6/IMG_0014.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,15,Cam 6/IMG_0015.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,16,Cam 6/IMG_0016.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,17,Cam 6/IMG_0017.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,18,Cam 6/IMG_0018.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,19,Cam 6/IMG_0019.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,20,Cam 6/IMG_0020.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,21,Cam 6/IMG_0021.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,22,Cam 6/IMG_0022.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,23,Cam 6/IMG_0023.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,24,Cam 6/IMG_0024.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,25,Cam 6/IMG_0025.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,26,Cam 6/IMG_0026.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,27,Cam 6/IMG_0027.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,28,Cam 6/IMG_0028.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,29,Cam 6/IMG_0029.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,30,Cam 6/IMG_0030.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,31,Cam 6/IMG_0031.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,32,Cam 6/IMG_0032.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,33,Cam 6/IMG_0033.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,34,Cam 6/IMG_0034.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,35,Cam 6/IMG_0035.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,36,Cam 6/IMG_0036.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,37,Cam 6/IMG_0037.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,38,Cam 6/IMG_0038.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,39,Cam 6/IMG_0039.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,40,Cam 6/IMG_0040.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,41,Cam 6/IMG_0041.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,42,Cam 6/IMG_0042.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,43,Cam 6/IMG_0043.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,44,Cam 6/IMG_0044.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,45,Cam 6/IMG_0045.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,46,Cam 6/IMG_0046.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,47,Cam 6/IMG_0047.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,48,Cam 6/IMG_0048.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,49,Cam 6/IMG_0049.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,50,Cam 6/IMG_0050.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,51,Cam 6/IMG_0051.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,52,Cam 6/IMG_0052.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,53,Cam 6/IMG_0053.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,54,Cam 6/IMG_0054.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,55,Cam 6/IMG_0055.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,56,Cam 6/IMG_0056.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,57,Cam 6/IMG_0057.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,58,Cam 6/IMG_0058.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,59,Cam 6/IMG_0059.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,60,Cam 6/IMG_0060.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,61,Cam 6/IMG_0061.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,62,Cam 6/IMG_0062.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,63,Cam 6/IMG_0063.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,64,Cam 6/IMG_0064.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,65,Cam 6/IMG_0065.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,66,Cam 6/IMG_0066.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,67,Cam 6/IMG_0067.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,68,Cam 6/IMG_0068.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,69,Cam 6/IMG_0069.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,70,Cam 6/IMG_0070.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,71,Cam 6/IMG_0071.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,72,Cam 6/IMG_0072.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,73,Cam 6/IMG_0073.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,74,Cam 6/IMG_0074.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,75,Cam 6/IMG_0075.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,76,Cam 6/IMG_0076.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,77,Cam 6/IMG_0077.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,78,Cam 6/IMG_0078.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,79,Cam 6/IMG_0079.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,80,Cam 6/IMG_0080.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,81,Cam 6/IMG_0081.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,82,Cam 6/IMG_0082.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,83,Cam 6/IMG_0083.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,84,Cam 6/IMG_0084.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,85,Cam 6/IMG_0085.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,86,Cam 6/IMG_0086.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,87,Cam 6/IMG_0087.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,88,Cam 6/IMG_0088.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,89,Cam 6/IMG_0089.JPG,12/23/2022,02:59PM,N/A,,,,,,
Cam 6,90,Cam 6/IMG_0090.JPG,12/23/2022,02:59PM,N/A,,,,,,
