Camera no,No,Filename,Date,Time,Species ,Distance 1,Angle 1,Distance 2,Angle 2,Distance 3,Angle 3
Cam 15,1,Cam 15/IMG_0001.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,2,Cam 15/IMG_0002.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,3,Cam 15/IMG_0003.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,4,Cam 15/IMG_0004.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,5,Cam 15/IMG_0005.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,6,Cam 15/IMG_0006.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,7,Cam 15/IMG_0007.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,8,Cam 15/IMG_0008.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,9,Cam 15/IMG_0009.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,10,Cam 15/IMG_0010.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,11,Cam 15/IMG_0011.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,12,Cam 15/IMG_0012.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,13,Cam 15/IMG_0013.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,14,Cam 15/IMG_0014.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,15,Cam 15/IMG_0015.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,16,Cam 15/IMG_0016.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,17,Cam 15/IMG_0017.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,18,Cam 15/IMG_0018.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,19,Cam 15/IMG_0019.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,20,Cam 15/IMG_0020.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,21,Cam 15/IMG_0021.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,22,Cam 15/IMG_0022.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,23,Cam 15/IMG_0023.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,24,Cam 15/IMG_0024.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,25,Cam 15/IMG_0025.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,26,Cam 15/IMG_0026.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,27,Cam 15/IMG_0027.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,28,Cam 15/IMG_0028.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,29,Cam 15/IMG_0029.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,30,Cam 15/IMG_0030.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,31,Cam 15/IMG_0031.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,32,Cam 15/IMG_0032.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,33,Cam 15/IMG_0033.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,34,Cam 15/IMG_0034.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,35,Cam 15/IMG_0035.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,36,Cam 15/IMG_0036.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,37,Cam 15/IMG_0037.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,38,Cam 15/IMG_0038.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,39,Cam 15/IMG_0039.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,40,Cam 15/IMG_0040.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,41,Cam 15/IMG_0041.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,42,Cam 15/IMG_0042.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,43,Cam 15/IMG_0043.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,44,Cam 15/IMG_0044.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,45,Cam 15/IMG_0045.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,46,Cam 15/IMG_0046.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,47,Cam 15/IMG_0047.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,48,Cam 15/IMG_0048.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,49,Cam 15/IMG_0049.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,50,Cam 15/IMG_0050.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,51,Cam 15/IMG_0051.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,52,Cam 15/IMG_0052.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,53,Cam 15/IMG_0053.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,54,Cam 15/IMG_0054.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,55,Cam 15/IMG_0055.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,56,Cam 15/IMG_0056.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,57,Cam 15/IMG_0057.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,58,Cam 15/IMG_0058.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,59,Cam 15/IMG_0059.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,60,Cam 15/IMG_0060.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,61,Cam 15/IMG_0061.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,62,Cam 15/IMG_0062.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,63,Cam 15/IMG_0063.JPG,11/22/2022,11:22AM,N/A,,,,,,
Cam 15,64,Cam 15/IMG_0064.JPG,11/22/2022,11:22AM,N/A,,,,,,
